geo,nace_r2,AIIE_Index,Total_Employment
LU,H,0.4335435734367508,13.1
LU,I,0.42400278463586427,9.700000000000001
LU,J,0.7118704964026861,15.200000000000001
LU,K,0.7107601053484018,34.3
LU,L,0.547255291005291,1.7
LU,M,0.7161498799761972,26.299999999999997
LU,N,0.37360001162090173,9.2
LU,O,0.5641356578415105,34.5
LU,P,0.7228191202515736,23.0
LU,Q,0.572500653356688,33.3
LU,R,0.6102931080882469,3.2
LU,S,0.6144905487498079,4.2
LU,T,0.25695072348376524,4.9
LU,U,0.7276118656209302,19.700000000000003
LV,A,0.2862820905371401,56.400000000000006
LV,C,0.35596370165976904,112.30000000000001
LV,D,0.5496374374725659,9.0
LV,F,0.3575781938526412,70.3
LV,G,0.4856754705158088,139.9
LV,H,0.410196525712994,66.0
LV,I,0.3899736627794518,22.1
LV,J,0.7032219487712852,40.9
LV,K,0.6399283277002871,14.8
LV,L,0.3884515688358281,10.8
LV,M,0.682990443860682,33.0
LV,N,0.3927754515307231,20.4
LV,O,0.6597596941891644,52.1
LV,P,0.6194575663432631,81.3
LV,Q,0.6099589997720979,55.4
LV,R,0.6938028126997053,17.7
LV,S,0.46073738137230197,10.1
MT,A,0.23457254246727932,1.4
MT,C,0.4100661140451124,27.7
MT,E,0.21820412129035582,1.7
MT,F,0.33317831660748937,18.1
MT,G,0.4908298872376664,34.1
MT,H,0.4200299657822334,15.2
MT,I,0.453412383614556,19.3
MT,J,0.6997885351633799,11.5
MT,K,0.6804327191927106,16.8
MT,L,0.547255291005291,2.7
MT,M,0.7034206402014953,14.700000000000001
MT,N,0.48788164147912383,14.6
MT,O,0.6064988217329487,15.6
