STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2011,,110.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2012,,100.8,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2013,,96.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2014,,98.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2015,,86.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2016,,81.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2017,,78.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2018,,76.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2019,,78.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2020,,74.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2021,,81.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2022,,67.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2023,,72.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2024,,62.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2008,,315.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2009,,251.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2010,,263.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2011,,201.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2012,,270.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2013,,188.2,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2014,,170.8,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2015,,204.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2016,,191.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2017,,165.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2018,,157.8,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2019,,124.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SK,Slovakia,2020,,113.0,,,,,
